Year,nSpawners
1965,525
1966,1188
1967,321
1968,756
1969,424
1970,821
1971,785
1972,348
1973,656
1974,1061
1975,923
1976,1436
1977,1013
1978,2056
1979,449
1980,1305
1981,922
1982,808
1983,1724
1984,1095
1985,1150
1986,1157
1987,855
1988,509
1989,952
1990,1277
1991,628
1992,706
1993,2366
1994,508
1995,565
1996,1032
1997,1917
1998,1891
1999,1345
2000,1427
2001,3589
2002,2895
2003,1972
2004,2988
2005,1279
2006,2615
2007,1334
2008,2560
2009,895
2010,1788
2011,702
2012,1379
2013,889
2014,839
2015,829
2016,1368
2017,1745
2018,1162
2089,565
2090,1032
2091,1917
2092,1891
2093,1345
2094,1427
2095,3589
2096,2895
2097,1972
2098,2988
2099,1279