return.interval,X488,X345,X636,X762,X243,X146,X179,X170,X517
200,2512.780334,574.831986,1140.800799,340.5383972,2704.910138,350.6475114,146.9644339,505.3990781,186.6646528
100,2285.339422,526.3535446,1063.977194,308.6819448,2434.569203,320.263535,121.7058067,455.5897449,165.1438494
50,2055.746429,477.1388652,982.1981412,276.4007397,2167.513023,289.9078755,99.05232941,406.2617982,144.5858187
40,1981.131539,461.0548963,954.6458494,265.8951896,2081.996146,280.1385634,92.28460307,390.4326809,138.1862114
25,1822.44393,426.791512,894.359283,243.5531976,1902.212487,259.4106317,78.83410093,357.1320693,124.9056104
20,1746.186662,410.2544735,864.5416435,232.7927959,1816.780561,249.4997354,72.80261261,341.3029521,118.7325378
10,1503.766139,357.3586041,765.8291163,198.6143621,1549.611113,218.1246694,55.4160688,291.66352,99.84520111
5,1247.668578,300.894812,654.5155923,162.5386995,1274.484632,185.1921768,39.87012001,240.4100276,81.1843992
2,857.6606498,213.3108054,469.238465,108.0570866,869.2139232,134.9014572,21.29426864,164.5775124,55.07626664
1.5,701.7764093,177.5466282,389.1867397,86.56460006,711.6306719,114.5416445,15.46099824,134.9580909,45.33527141
1.25,575.8230756,148.2103751,321.8209616,69.43290786,585.9888235,97.80638816,11.41168918,111.2852071,37.74635652
1.01,268.1888541,73.99192017,147.3325529,29.166352,283.5082682,54.79309817,3.822774291,54.05686016,19.82179262